stage,stage_label,kept_n,kept_pct,removed_n,removed_pct,overall_fpd_pct,fpd_reduction_pp,bad_n,good_n,marginal_removed_n,marginal_removed_pct,marginal_bad_n,marginal_good_n,marginal_purity_pct,band_1_fpd_pct,band_2_fpd_pct,band_3_fpd_pct,band_4_fpd_pct
0,Baseline,182462,100.0,0,0.0,24.99972597033903,0.0,45615,136847,0,0.0,0,0,,13.002485643267336,17.05984477124183,21.847341593977266,32.065897236186835
1,After R1,181505,99.47550722890246,957,0.5244927710975436,24.744221922261094,0.2555040480779347,44912,136593,957,0.5244927710975436,703,254,73.45872518286312,13.002485643267336,17.05984477124183,21.847341593977266,31.59308196369105
2,After R1+R2,180367,98.85181572053358,2095,1.1481842794664094,24.507809078157315,0.4919168921817132,44204,136163,1138,0.6236915083688659,708,430,62.214411247803156,13.002485643267336,17.05984477124183,21.847341593977266,31.171424077054315
3,After R1+R2+R3,179454,98.35143755960145,3008,1.6485624403985488,24.32378213915544,0.6759438311835879,43650,135804,913,0.5003781609321394,554,359,60.67907995618839,13.002485643267336,17.05984477124183,21.847341593977266,30.841796158081486
4,After R1+R2+R3+R4,177706,97.39342986484857,4756,2.6065701351514288,23.992999673618222,1.0067262967208066,42637,135069,1748,0.9580076947528801,1013,735,57.95194508009154,13.002485643267336,17.05984477124183,21.847341593977266,30.24930609387112
5,After R1+R2+R3+R4+R5,176762,96.87606186493626,5700,3.1239381350637396,23.814507643045452,1.1852183272935761,42095,134667,944,0.5173679999123105,542,402,57.41525423728814,13.002485643267336,17.05984477124183,21.847341593977266,29.92484627647461
6,After R1+R2+R3+R4+R5+R6,175512,96.19098771251001,6950,3.8090122874899977,23.58585167965723,1.4138742906817967,41396,134116,1250,0.6850741524262586,699,551,55.92,13.002485643267336,17.05984477124183,21.847341593977266,29.50712192111894
7,After R1+R2+R3+R4+R5+R6+R7,174586,95.68348478039262,7876,4.31651521960737,23.423985886611757,1.575740083727272,40895,133691,926,0.5075029321173724,501,425,54.1036717062635,13.002485643267336,17.05984477124183,21.55372825899776,29.34601203182612
8,After R1+R2+R3+R4+R5+R6+R7+R8,172740,94.67176727208954,9722,5.328232727910469,23.141136968854926,1.858589001484102,39974,132766,1846,1.0117175083030987,921,925,49.89165763813651,13.002485643267336,17.05984477124183,21.55372825899776,28.84332462988244
9,After R1+R2+R3+R4+R5+R6+R7+R8+R9,171028,93.73348971292653,11434,6.266510287073474,22.89917440419113,2.1005515661478995,39164,131864,1712,0.9382775591630038,810,902,47.31308411214953,13.002485643267336,17.05984477124183,21.244110975396964,28.549330822516644
10,After R1+R2+R3+R4+R5+R6+R7+R8+R9+R10,166802,91.41739101840383,15660,8.582608981596168,22.301291351422645,2.6984346189163837,37199,129603,4226,2.316098694522695,1965,2261,46.49787032654993,13.002485643267336,17.05984477124183,21.244110975396964,27.46759080990887
