leaf_id,rule,depth,n_samples,n_bad,n_good,fpd_rate_pct,removed_pct,fpd_reduction_pp,efficiency,is_candidate
5,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score <= 0.597289 & acquisition_channel_source_b <= 0.500000 & acquisition_uw_score <= 0.491564,5,957,703,254,73.45872518286312,0.5244927710975436,0.2555040480779347,0.4871450326060201,True
6,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score <= 0.597289 & acquisition_channel_source_b <= 0.500000 & acquisition_uw_score > 0.491564,5,1138,708,430,62.214411247803156,0.6236915083688659,0.23356153540487767,0.3744824681286888,True
22,acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing > 0.500000 & hotspots_overdue_ratio > 0.184984 & acquisition_uw_score <= 0.782922,5,913,554,359,60.67907995618839,0.5003781609321394,0.17942952144644408,0.3585878350729581,True
7,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score <= 0.597289 & acquisition_channel_source_b > 0.500000,4,1748,1013,735,57.95194508009154,0.9580076947528801,0.3187383324139077,0.3327095744216615,True
12,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score > 0.597289 & phone_carrier_te > 0.245457,4,944,542,402,57.41525423728814,0.5173679999123105,0.16857974792582553,0.32584108014874974,True
18,acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing <= 0.500000 & removed_app_between_first_loan_and_first_due_date > 0.500000,4,1250,699,551,55.92,0.6850741524262586,0.2132879860995729,0.3113356201576022,True
45,acquisition_uw_score > 0.838233 & removed_app_between_first_loan_and_first_due_date > 0.500000 & acquisition_uw_score <= 0.909486 & credits_tc_limite_credito > 15215.500000,4,926,501,425,54.1036717062635,0.5075029321173724,0.14845680058757438,0.29252402536511873,True
10,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score > 0.597289 & phone_carrier_te <= 0.245457 & credits_total_credito_maximo <= 75910.000000,5,1846,921,925,49.89165763813651,1.0117175083030987,0.254409940751394,0.2514634160854867,True
44,acquisition_uw_score > 0.838233 & removed_app_between_first_loan_and_first_due_date > 0.500000 & acquisition_uw_score <= 0.909486 & credits_tc_limite_credito <= 15215.500000 & bureau_1_credit_lines_past_due > 1.500000,5,1712,810,902,47.31308411214953,0.9382775591630038,0.21134422760043847,0.2252470236941075,True
23,acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing > 0.500000 & hotspots_overdue_ratio > 0.184984 & acquisition_uw_score > 0.782922,5,4226,1965,2261,46.49787032654993,2.316098694522695,0.5097239505450482,0.22007868306755934,True
11,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score > 0.597289 & phone_carrier_te <= 0.245457 & credits_total_credito_maximo > 75910.000000,5,1374,596,778,43.37700145560407,0.7530335083469435,0.1394370500350881,0.18516712535300034,True
43,acquisition_uw_score > 0.838233 & removed_app_between_first_loan_and_first_due_date > 0.500000 & acquisition_uw_score <= 0.909486 & credits_tc_limite_credito <= 15215.500000 & bureau_1_credit_lines_past_due <= 1.500000,5,1157,450,707,38.89369057908384,0.6341046354857449,0.08866449933712772,0.1398262910808211,True
47,acquisition_uw_score > 0.838233 & removed_app_between_first_loan_and_first_due_date > 0.500000 & acquisition_uw_score > 0.909486 & user_state_te <= 0.246436,4,977,365,612,37.35926305015353,0.5354539575363637,0.06653589953427641,0.1242607297934815,True
20,acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing > 0.500000 & hotspots_overdue_ratio <= 0.184984,4,1646,599,1047,36.391251518833535,0.9021056439148973,0.10369907006471735,0.11495224618559208,True
