rule,rule_rank,removed_n,removed_pct,kept_n,new_fpd_pct,fpd_reduction_pp,efficiency,purity_pct,n_samples,n_bad,n_good,depth,fpd_rate_pct,rule_label,rule_short
acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score <= 0.597289 & acquisition_channel_source_b <= 0.500000 & acquisition_uw_score <= 0.491564,1,957,0.5244927710975436,181505,24.744221922261094,0.2555040480779347,0.4871450326060201,73.45872518286312,957,703,254,5,73.45872518286312,R1,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score <= 0.597289 ...
acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score <= 0.597289 & acquisition_channel_source_b <= 0.500000 & acquisition_uw_score > 0.491564,2,1138,0.6236915083688659,181324,24.76616443493415,0.23356153540487767,0.3744824681286888,62.214411247803156,1138,708,430,5,62.214411247803156,R2,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score <= 0.597289 ...
acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing > 0.500000 & hotspots_overdue_ratio > 0.184984 & acquisition_uw_score <= 0.782922,3,913,0.5003781609321394,181549,24.820296448892584,0.17942952144644408,0.3585878350729581,60.67907995618839,913,554,359,5,60.67907995618839,R3,acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing > 0.500000 ...
acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score <= 0.597289 & acquisition_channel_source_b > 0.500000,4,1748,0.9580076947528801,180714,24.68098763792512,0.3187383324139077,0.3327095744216615,57.95194508009154,1748,1013,735,4,57.95194508009154,R4,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score <= 0.597289 ...
acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score > 0.597289 & phone_carrier_te > 0.245457,5,944,0.5173679999123105,181518,24.831146222413203,0.16857974792582553,0.32584108014874974,57.41525423728814,944,542,402,4,57.41525423728814,R5,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score > 0.597289 ...
acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing <= 0.500000 & removed_app_between_first_loan_and_first_due_date > 0.500000,6,1250,0.6850741524262586,181212,24.786437984239456,0.2132879860995729,0.3113356201576022,55.92,1250,699,551,4,55.92,R6,acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing <= 0.500000 ...
acquisition_uw_score > 0.838233 & removed_app_between_first_loan_and_first_due_date > 0.500000 & acquisition_uw_score <= 0.909486 & credits_tc_limite_credito > 15215.500000,7,926,0.5075029321173724,181536,24.851269169751454,0.14845680058757438,0.29252402536511873,54.1036717062635,926,501,425,4,54.1036717062635,R7,acquisition_uw_score > 0.838233 & removed_app_between_first_loan_and_first_due_date > 0.500000 & acquisition_uw_score <= 0.909486 ...
acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score > 0.597289 & phone_carrier_te <= 0.245457 & credits_total_credito_maximo <= 75910.000000,8,1846,1.0117175083030987,180616,24.745316029587634,0.254409940751394,0.2514634160854867,49.89165763813651,1846,921,925,5,49.89165763813651,R8,acquisition_uw_score <= 0.838233 & acquisition_uw_score <= 0.689887 & acquisition_uw_score > 0.597289 ...
acquisition_uw_score > 0.838233 & removed_app_between_first_loan_and_first_due_date > 0.500000 & acquisition_uw_score <= 0.909486 & credits_tc_limite_credito <= 15215.500000 & bureau_1_credit_lines_past_due > 1.500000,9,1712,0.9382775591630038,180750,24.78838174273859,0.21134422760043847,0.2252470236941075,47.31308411214953,1712,810,902,5,47.31308411214953,R9,acquisition_uw_score > 0.838233 & removed_app_between_first_loan_and_first_due_date > 0.500000 & acquisition_uw_score <= 0.909486 ...
acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing > 0.500000 & hotspots_overdue_ratio > 0.184984 & acquisition_uw_score > 0.782922,10,4226,2.316098694522695,178236,24.49000201979398,0.5097239505450482,0.22007868306755934,46.49787032654993,4226,1965,2261,5,46.49787032654993,R10,acquisition_uw_score <= 0.838233 & acquisition_uw_score > 0.689887 & apps_installed_count_missing > 0.500000 ...
